centroid_x,centroid_y,mass,peak,plane_cp58_flux,plane_cp58_inventory,plane_cp70_flux,plane_cp70_inventory,plane_cp82_flux,plane_cp82_inventory,plane_cp90_flux,plane_cp90_inventory,spread_x,spread_y,time,total_mass
13950.00000000002,13950,1816852236.513062,744.5488322060029,0,124755.8200854389,0,15649.43079136998,0,125.4105639532411,0,3.978859882385279,1945.455412378966,1945.455412378926,2700,1816852236.513062
13950.00000000003,13950,1696567769.062165,728.393753931767,0,112828.6890449322,0,14370.3247755589,0,118.6015434726641,0,3.819352633399224,1922.579844531825,1922.579844531785,2750,1696567769.062165
13950.00000000003,13950.00000000001,1586709204.869569,712.539027196516,0,102094.4717227506,0,13199.47872693888,0,112.1552673705138,0,3.665597216615029,1898.937561510076,1898.937561510036,2800,1586709204.869569
13950.00000000003,13950,1486259205.419194,696.9839657321738,0,92428.77220230318,0,12127.4245059986,0,106.0531369854811,0,3.517427561111351,1874.566627575823,1874.566627575782,2850,1486259205.419194
13950.00000000002,13950,1394305780.75023,681.7273114732102,0,83720.66714815541,0,11145.54759582261,0,100.2774393747998,0,3.374679667690011,1849.508678991152,1849.508678991111,2900,1394305780.75023
13950.00000000003,13950,1310030934.431497,666.7673057367758,0,75871.19741270336,0,10246.00797375353,0,94.81131122167446,0,3.237191787503483,1823.808569075588,1823.808569075547,2950,1310030934.431497
13950.00000000003,13950,1232700570.815787,652.1017528415119,0,68792.03318746964,0,9421.668502969836,0,89.63870366163987,0,3.104804582236837,1797.513976286723,1797.513976286681,3000,1232700570.815786
13950.00000000003,13950.00000000001,1161655521.083148,637.7280769599988,0,62404.29234693017,0,8666.030113620775,0,84.74434805971501,0,2.977361266788979,1770.674982742905,1770.674982742863,3050,1161655521.083149
13950.00000000003,13950,1096303561.06657,623.6433729151561,0,56637.49403614967,0,7973.17311539971,0,80.1137227627845,0,2.854707735385228,1743.343631216244,1743.343631216202,3100,1096303561.066569
13950.00000000003,13950.00000000001,1036112308.46123,609.8444515553392,0,51428.6316769207,0,7337.704048429548,0,75.73302084494001,0,2.736692672037127,1715.573468956488,1715.573468956446,3150,1036112308.46123
13950.00000000003,13950.00000000001,980602899.953167,596.3278802754581,0,46721.351441414,0,6754.707537812229,0,71.58911885749571,0,2.62316764624637,1687.419086758727,1687.419086758685,3200,980602899.9531668
13950.00000000003,13950,929344360.2494562,583.0900191912789,0,42465.2238955441,0,6219.702669819202,0,67.66954659000135,0,2.513987194828322,1658.935661471201,1658.93566147116,3250,929344360.2494562
13950.00000000003,13950.00000000001,881948585.1163936,570.1270534203447,0,38615.09797155365,0,5728.603455061691,0,63.96245784377347,0,2.409008890707118,1630.17850967699,1630.178509676949,3300,881948585.1163937
13950.00000000003,13950,838065869.4842417,557.4350218750692,0,35130.527713349,0,5277.682986613438,0,60.45660221520082,0,2.308093399509139,1601.202659608595,1601.202659608554,3350,838065869.4842416
13950.00000000003,13950,797380919.5905316,545.0098429307386,0,31975.26336909707,0,4863.540939439502,0,57.14129788231672,0,2.211104524755122,1572.062447508503,1572.062447508463,3400,797380919.5905315
13950.00000000003,13950.00000000001,759609295.1282579,532.8473372930024,0,29116.79940152595,0,4483.074092044127,0,54.00640538482374,0,2.11790924242353,1542.811143677339,1542.811143677298,3450,759609295.1282578
13950.00000000003,13950.00000000001,724494233.5466549,520.943248355323,0,26525.97286325322,0,4133.449582373281,0,51.04230238487432,0,2.028377725629398,1513.500612401685,1513.500612401645,3500,724494233.5466548
13950.00000000003,13950.00000000001,691803814.1151822,509.2932603064408,0,24176.60635647117,0,3812.080638039826,0,48.23985939341102,0,1.942383360133791,1484.181008872106,1484.181008872066,3550,691803814.115182
13950.00000000002,13950,661328424.1894482,497.89301422068,0,22045.19047598994,0,3516.604546192695,0,45.59041644472794,0,1.859802751369694,1454.900515131138,1454.900515131099,3600,661328424.1894482
13950.00000000003,13950,632878494.38542,486.7381223396736,0,20110.60123304983,0,3244.862651105497,0,43.08576070009016,0,1.780515723640592,1425.705116068224,1425.705116068186,3650,632878494.38542
